date,houston_rio_clean_38k_ws,augusta_newyork_clean_37k_ws
17/12/10,180,
24/12/10,170,
31/12/10,175,
07/01/11,170,
14/01/11,150,
21/01/11,140,
28/01/11,137.5,
04/02/11,130,
11/02/11,120,
18/02/11,120,
25/02/11,140,
04/03/11,175,
11/03/11,195,
18/03/11,195,
25/03/11,180,
01/04/11,180,
08/04/11,170,
15/04/11,150,
22/04/11,150,
29/04/11,150,
06/05/11,160,
13/05/11,185,
20/05/11,160,
27/05/11,155,
03/06/11,137.5,
10/06/11,150,
17/06/11,160,
24/06/11,185,
01/07/11,160,
08/07/11,145,
15/07/11,145,
22/07/11,150,
29/07/11,150,
05/08/11,160,
12/08/11,170,
19/08/11,180,
26/08/11,195,
02/09/11,180,
09/09/11,170,
16/09/11,150,
23/09/11,150,
30/09/11,160,
07/10/11,160,
14/10/11,160,
21/10/11,177.5,
28/10/11,170,
04/11/11,170,
11/11/11,170,
18/11/11,150,
25/11/11,160,160
02/12/11,160,161
09/12/11,140,180
16/12/11,150,210
23/12/11,150,242.5
30/12/11,165,265
06/01/12,187.5,180
13/01/12,160,165
20/01/12,140,177.5
27/01/12,130,150
03/02/12,130,170
10/02/12,127.5,160
17/02/12,150,175
24/02/12,165,200
02/03/12,175,177.5
09/03/12,175,175
16/03/12,180,160
23/03/12,190,150
30/03/12,185,150
06/04/12,180,150
13/04/12,177.5,155
20/04/12,140,147.5
27/04/12,147.5,147.5
04/05/12,130,150
11/05/12,177.5,150
18/05/12,180,150
25/05/12,150,157.5
01/06/12,132.5,145
08/06/12,132.5,135
15/06/12,120,127.5
22/06/12,110,130
29/06/12,105,105
06/07/12,110,105
13/07/12,105,140
20/07/12,100,100
27/07/12,120,115
03/08/12,120,112.5
10/08/12,115,125
17/08/12,110,140
24/08/12,115,125
31/08/12,115,115
07/09/12,115,112.5
14/09/12,110,112.5
21/09/12,115,162.5
28/09/12,115,137.5
05/10/12,145,137.5
12/10/12,140,130
19/10/12,120,125
26/10/12,140,132.5
02/11/12,225,127.5
09/11/12,185,140
16/11/12,175,140
23/11/12,175,135
30/11/12,140,165
07/12/12,130,150
14/12/12,140,155
21/12/12,185,155
