date,jet_nwe_usd_per_t,jet_nwe_usd_per_bbl,ulsd_nwe_usd_per_t,ulsd_nwe_usd_per_bbl,gasoil_sg_usd_per_t,gasoil_sg_usd_per_bbl,ulsd_sg_usd_per_t,ulsd_sg_usd_per_bbl,jet_sg_usd_per_bbl,ulsd_usgc_usd_per_bbl
01/01/24,874.2498358,110.9454106,801.5986987,107.5971408,753.6182955,101.1568182,766.2325,102.85,101.5725806,108.2815364
01/02/24,900.1337004,114.230165,865.9122984,116.2298387,782.1258333,104.9833333,794.365119,106.6261905,103.2468801,114.3992
01/03/24,860.4540384,109.1946749,835.2586526,112.1152554,765.52475,102.755,773.663875,103.8475,102.4910484,109.91022
01/04/24,850.218802,107.8957871,813.1271601,109.1445853,772.6536905,103.7119048,781.4517857,104.8928571,103.0195238,108.298
01/05/24,807.7579319,102.5073518,750.030562,100.6752432,714.6678571,95.92857143,727.3505952,97.63095238,95.66159754,100.4183
01/06/24,804.1841875,102.0538309,758.2019312,101.7720713,725.8456579,97.42894737,729.8059211,97.96052632,97.12885965,100.8785842
01/07/24,815.3268355,103.4678725,766.2216673,102.8485459,736.3139773,98.83409091,738.7521591,99.16136364,98.20329912,102.4100318
01/08/24,756.8042716,96.04115122,711.609943,95.51811316,675.5553571,90.67857143,687.2092857,92.24285714,91.56059908,94.63040001
01/09/24,700.6382253,88.91348037,658.6340726,88.40725806,620.5140476,83.29047619,628.3010714,84.33571429,84.03732719,88.05600001
01/10/24,719.8465306,91.35108257,676.9194863,90.86167602,650.6441304,87.33478261,654.3691304,87.83478261,87.92026648,91.33621305
01/11/24,717.0901742,91.00129114,681.5068796,91.4774335,664.3439474,89.17368421,665.7751316,89.36578947,89.58578947,91.44206843
01/12/24,700.0706963,88.84145892,680.3632392,91.32392473,659.529875,88.5275,662.19325,88.885,87.72532258,90.74173501
01/01/25,751.9329514,95.42296337,724.3131415,97.22324047,704.7192045,94.59318182,709.1384091,95.18636364,93.29120235,100.5875182
01/02/25,745.9041477,94.65788676,716.2363911,96.1391129,675.659125,90.6925,683.20225,91.705,91.63178571,99.45337501
01/03/25,706.1003815,89.6066474,671.9018817,90.18817204,635.0592857,85.24285714,644.7620238,86.5452381,85.40652842,91.53910001
01/04/25,673.7885629,85.50616281,622.5105847,83.55846774,599.967125,80.5325,609.503125,81.8125,80.73416667,86.92351501
01/05/25,655.6764843,83.20767567,609.3178763,81.78763441,587.24625,78.825,592.144625,79.4825,78.22443548,85.36573501
01/06/25,718.5450623,91.18592161,686.2783218,92.11789555,644.602381,86.52380952,648.2386905,87.01190476,84.76190476,93.26320001
01/07/25,743.1516117,94.30858016,739.5143759,99.26367461,668.3783696,89.71521739,677.2211957,90.90217391,87.05701262,99.33593479
01/08/25,705.6073019,89.54407385,672.2022849,90.22849462,635.634,85.32,643.102625,86.3225,84.33862903,93.08302501
01/09/25,728.1956983,92.41062161,704.6503849,94.58394428,657.4117045,88.24318182,663.6426136,89.07954545,87.03454545,96.12912273
01/10/25,721.4891727,91.55953969,680.4677273,91.33794998,652.5066304,87.58478261,660.491087,88.65652174,87.22265077,93.27615653
01/11/25,772.201594,97.99512615,752.6727991,101.0299059,682.82975,91.655,696.724,93.52,93.29333333,99.39793501
01/12/25,704.763046,89.43693477,642.5768049,86.25192012,611.9820238,82.1452381,614.5185714,82.48571429,84.4437788,88.00050001
01/01/26,725.3445643,92.04880258,657.1320565,88.20564516,613.39575,82.335,614.28975,82.455,83.44532258,91.69912501
01/02/26,774.1106505,98.2373922,706.2242678,94.79520374,659.8739474,88.57368421,668.7159211,89.76052632,88.84088346,97.67287895
01/03/26,1515.836894,192.365088,1235.066899,165.7807918,1425.828409,191.3863636,1440.525227,193.3590909,195.0542522,157.6260955
01/04/26,1502.005209,190.6097982,1286.151378,172.6377688,1294.512,173.76,1419.63475,190.555,191.6583333,161.99988
01/05/26,1274.478254,161.735819,1167.409097,156.6992077,1108.991316,148.8578947,1167.277763,156.6815789,153.2267402,161.1357632
01/06/26,1027.347618,130.3740632,970.3501024,130.2483359,941.3607143,126.3571429,946.1677381,127.002381,125.8890476,139.9352
