date,worldscale_rate
08/01/88,140
15/01/88,140
22/01/88,130
29/01/88,130
05/02/88,115
12/02/88,110
19/02/88,110
26/02/88,115
04/03/88,120
11/03/88,115
18/03/88,105
25/03/88,100
01/04/88,100
08/04/88,100
15/04/88,105
22/04/88,120
29/04/88,140
06/05/88,140
13/05/88,145
20/05/88,145
27/05/88,145
03/06/88,140
10/06/88,135
17/06/88,125
24/06/88,130
01/07/88,130
08/07/88,130
15/07/88,125
22/07/88,115
29/07/88,110
05/08/88,115
12/08/88,120
19/08/88,120
26/08/88,120
02/09/88,125
09/09/88,125
16/09/88,125
23/09/88,120
30/09/88,122.5
07/10/88,125
14/10/88,135
21/10/88,135
28/10/88,135
04/11/88,140
11/11/88,145
18/11/88,145
25/11/88,140
02/12/88,140
09/12/88,145
16/12/88,150
23/12/88,150
30/12/88,150
06/01/89,180
13/01/89,180
20/01/89,175
27/01/89,175
03/02/89,170
10/02/89,175
17/02/89,170
24/02/89,160
03/03/89,150
10/03/89,140
17/03/89,142.5
24/03/89,145
31/03/89,145
07/04/89,150
14/04/89,150
21/04/89,160
28/04/89,165
05/05/89,167.5
12/05/89,170
19/05/89,175
26/05/89,170
02/06/89,175
09/06/89,175
16/06/89,170
23/06/89,165
30/06/89,165
07/07/89,150
14/07/89,140
21/07/89,150
28/07/89,155
04/08/89,150
11/08/89,150
18/08/89,150
25/08/89,165
01/09/89,165
08/09/89,180
15/09/89,170
22/09/89,165
29/09/89,165
06/10/89,170
13/10/89,170
20/10/89,170
27/10/89,185
03/11/89,185
10/11/89,190
17/11/89,190
24/11/89,190
01/12/89,180
08/12/89,177.5
15/12/89,180
22/12/89,180
29/12/89,180
05/01/90,180
12/01/90,180
19/01/90,182.5
26/01/90,185
02/02/90,185
09/02/90,170
16/02/90,170
23/02/90,165
02/03/90,165
09/03/90,165
16/03/90,165
23/03/90,160
30/03/90,160
06/04/90,155
13/04/90,155
20/04/90,155
27/04/90,165
04/05/90,165
11/05/90,175
18/05/90,165
25/05/90,165
01/06/90,165
08/06/90,165
15/06/90,160
22/06/90,160
29/06/90,165
06/07/90,165
13/07/90,165
20/07/90,165
27/07/90,165
03/08/90,165
10/08/90,160
17/08/90,160
24/08/90,165
31/08/90,150
07/09/90,160
14/09/90,165
21/09/90,160
28/09/90,160
05/10/90,160
12/10/90,160
19/10/90,205
26/10/90,210
02/11/90,210
09/11/90,210
16/11/90,205
23/11/90,210
30/11/90,210
07/12/90,205
14/12/90,205
21/12/90,190
28/12/90,190
04/01/91,165
11/01/91,150
18/01/91,240
25/01/91,240
01/02/91,220
08/02/91,220
15/02/91,222
22/02/91,210
01/03/91,200
08/03/91,190
15/03/91,170
22/03/91,170
29/03/91,165
05/04/91,160
12/04/91,155
19/04/91,150
26/04/91,145
03/05/91,140
10/05/91,145
17/05/91,145
24/05/91,130
31/05/91,130
07/06/91,120
14/06/91,117.5
21/06/91,117.5
28/06/91,115
05/07/91,110
12/07/91,102.5
19/07/91,100
26/07/91,97.5
02/08/91,95
09/08/91,97.5
16/08/91,95
23/08/91,105
30/08/91,100
06/09/91,105
13/09/91,105
20/09/91,105
27/09/91,110
04/10/91,110
11/10/91,110
18/10/91,110
25/10/91,110
01/11/91,110
08/11/91,115
15/11/91,115
22/11/91,125
29/11/91,115
06/12/91,115
13/12/91,120
20/12/91,125
27/12/91,128.5
03/01/92,151
10/01/92,135
17/01/92,135
24/01/92,150
31/01/92,150
07/02/92,140
14/02/92,110
21/02/92,140
28/02/92,120
06/03/92,120
13/03/92,120
20/03/92,120
27/03/92,115
03/04/92,110
10/04/92,110
17/04/92,115
24/04/92,115
01/05/92,105
08/05/92,110
15/05/92,110
22/05/92,125
29/05/92,125
05/06/92,125
12/06/92,125
19/06/92,125
26/06/92,110
03/07/92,115
10/07/92,117.5
17/07/92,117.5
24/07/92,120
31/07/92,122.5
07/08/92,117.5
14/08/92,125
21/08/92,125
28/08/92,125
04/09/92,125
11/09/92,125
18/09/92,125
25/09/92,120
02/10/92,120
09/10/92,120
16/10/92,120
23/10/92,120
30/10/92,115
06/11/92,115
13/11/92,115
20/11/92,115
27/11/92,120
04/12/92,125
11/12/92,125
18/12/92,135
25/12/92,135
01/01/93,145
08/01/93,145
15/01/93,145
22/01/93,152.5
29/01/93,150
05/02/93,145
12/02/93,125
19/02/93,130
26/02/93,120
05/03/93,115
12/03/93,120
19/03/93,120
26/03/93,115
02/04/93,115
09/04/93,115
16/04/93,115
23/04/93,120
30/04/93,115
07/05/93,125
14/05/93,130
21/05/93,132.5
28/05/93,130
04/06/93,120
11/06/93,120
18/06/93,115
25/06/93,115
02/07/93,120
09/07/93,120
16/07/93,145
23/07/93,150
30/07/93,150
06/08/93,150
13/08/93,150
20/08/93,145
27/08/93,145
03/09/93,155
10/09/93,155
17/09/93,157.5
24/09/93,160
01/10/93,170
08/10/93,165
15/10/93,165
22/10/93,165
29/10/93,170
05/11/93,170
12/11/93,175
19/11/93,175
26/11/93,175
03/12/93,177.5
10/12/93,180
17/12/93,180
24/12/93,180
31/12/93,180
07/01/94,185
14/01/94,190
21/01/94,192.5
28/01/94,190
04/02/94,185
11/02/94,185
18/02/94,185
25/02/94,145
04/03/94,145
11/03/94,150
18/03/94,155
25/03/94,155
01/04/94,155
08/04/94,150
15/04/94,155
22/04/94,160
29/04/94,157.5
06/05/94,157.5
13/05/94,155
20/05/94,155
27/05/94,160
03/06/94,157.5
10/06/94,155
17/06/94,155
24/06/94,152.5
01/07/94,147.5
08/07/94,147.5
15/07/94,150
22/07/94,150
29/07/94,147.5
05/08/94,148
12/08/94,148
19/08/94,148
26/08/94,150
02/09/94,150
09/09/94,158
16/09/94,170
23/09/94,170
30/09/94,175
07/10/94,165
14/10/94,170
21/10/94,180
28/10/94,185
04/11/94,185
11/11/94,190
18/11/94,195
25/11/94,195
02/12/94,195
09/12/94,195
16/12/94,195
23/12/94,190
30/12/94,185
06/01/95,180
13/01/95,175
20/01/95,175
27/01/95,170
03/02/95,170
10/02/95,170
17/02/95,170
24/02/95,170
03/03/95,175
10/03/95,175
17/03/95,175
24/03/95,165
31/03/95,165
07/04/95,155
14/04/95,145
21/04/95,147.5
28/04/95,147.5
05/05/95,140
12/05/95,140
19/05/95,145
26/05/95,145
02/06/95,160
09/06/95,165
16/06/95,162.5
23/06/95,165
30/06/95,160
07/07/95,174
14/07/95,185
21/07/95,185
28/07/95,185
04/08/95,185
11/08/95,185
18/08/95,185
25/08/95,185
01/09/95,180
08/09/95,180
15/09/95,175
22/09/95,170
29/09/95,170
06/10/95,170
13/10/95,175
20/10/95,200
27/10/95,210
03/11/95,210
10/11/95,205
17/11/95,212.5
24/11/95,220
01/12/95,215
08/12/95,210
15/12/95,210
22/12/95,210
29/12/95,210
05/01/96,210
12/01/96,210
19/01/96,210
26/01/96,202.5
02/02/96,202.5
09/02/96,202.5
16/02/96,200
23/02/96,200
01/03/96,200
08/03/96,195
15/03/96,185
22/03/96,177.5
29/03/96,170
05/04/96,165
12/04/96,165
19/04/96,165
26/04/96,162.5
03/05/96,162.5
10/05/96,162.5
17/05/96,162.5
24/05/96,165
31/05/96,167.5
07/06/96,170
14/06/96,170
21/06/96,172.5
28/06/96,172.5
05/07/96,170
12/07/96,170
19/07/96,170
26/07/96,170
02/08/96,170
09/08/96,170
16/08/96,167.5
23/08/96,167.5
30/08/96,167.5
06/09/96,167.5
13/09/96,167.5
20/09/96,167.5
27/09/96,167.5
04/10/96,175
11/10/96,175
18/10/96,182.5
25/10/96,182.5
01/11/96,185
08/11/96,187.5
15/11/96,195
22/11/96,195
29/11/96,200
06/12/96,215
13/12/96,215
20/12/96,215
27/12/96,215
03/01/97,215
10/01/97,215
17/01/97,225
24/01/97,215
31/01/97,210
07/02/97,212.5
14/02/97,207.5
21/02/97,207.5
28/02/97,200
07/03/97,200
14/03/97,195
21/03/97,200
28/03/97,200
04/04/97,200
11/04/97,197.5
