date,democratic_republic_of_the_congo_refinery_runs_kbd,equatorial_guinea_refinery_runs_kbd,mauritania_refinery_runs_kbd,south_sudan_refinery_runs_kbd,angola_refinery_runs_kbd,congo_refinery_runs_kbd,ivory_coast_refinery_runs_kbd,cameroon_refinery_runs_kbd,algeria_refinery_runs_kbd,egypt_refinery_runs_kbd,gabon_refinery_runs_kbd,ghana_refinery_runs_kbd,kenya_refinery_runs_kbd,libya_refinery_runs_kbd,morocco_refinery_runs_kbd,niger_refinery_runs_kbd,nigeria_refinery_runs_kbd,sudan_refinery_runs_kbd,senegal_refinery_runs_kbd,chad_refinery_runs_kbd,tunisia_refinery_runs_kbd,south_africa_refinery_runs_kbd,zambia_refinery_runs_kbd,africa_refinery_runs_kbd,americas_refinery_runs_kbd,afghanistan_refinery_runs_kbd,north_korea_refinery_runs_kbd,laos_refinery_runs_kbd,sri_lanka_refinery_runs_kbd,mongolia_refinery_runs_kbd,east_timor_refinery_runs_kbd,australia_refinery_runs_kbd,bangladesh_refinery_runs_kbd,brunei_refinery_runs_kbd,china_refinery_runs_kbd,indonesia_refinery_runs_kbd,india_refinery_runs_kbd,japan_refinery_runs_kbd,korea_refinery_runs_kbd,myanmar_refinery_runs_kbd,malaysia_refinery_runs_kbd,new_zealand_refinery_runs_kbd,papua_new_guinea_refinery_runs_kbd,philippines_refinery_runs_kbd,pakistan_refinery_runs_kbd,singapore_refinery_runs_kbd,thailand_refinery_runs_kbd,taiwan_refinery_runs_kbd,vietnam_refinery_runs_kbd,asia_pacific_refinery_runs_kbd,east_of_suez_refinery_runs_kbd,albania_refinery_runs_kbd,austria_refinery_runs_kbd,bosnia_refinery_runs_kbd,belgium_refinery_runs_kbd,bulgaria_refinery_runs_kbd,switzerland_refinery_runs_kbd,czechia_refinery_runs_kbd,germany_refinery_runs_kbd,denmark_refinery_runs_kbd,spain_refinery_runs_kbd,eu-5_refinery_runs_kbd,finland_refinery_runs_kbd,france_refinery_runs_kbd,united_kingdom_refinery_runs_kbd,greece_refinery_runs_kbd,croatia_refinery_runs_kbd,hungary_refinery_runs_kbd,ireland_refinery_runs_kbd,italy_refinery_runs_kbd,lithuania_refinery_runs_kbd,north_macedonia_refinery_runs_kbd,netherlands_refinery_runs_kbd,norway_refinery_runs_kbd,poland_refinery_runs_kbd,portugal_refinery_runs_kbd,romania_refinery_runs_kbd,serbia_refinery_runs_kbd,sweden_refinery_runs_kbd,slovakia_refinery_runs_kbd,turkey_refinery_runs_kbd,europe_refinery_runs_kbd,kyrgyzstan_refinery_runs_kbd,tajikistan_refinery_runs_kbd,azerbaijan_refinery_runs_kbd,belarus_refinery_runs_kbd,kazakhstan_refinery_runs_kbd,russia_refinery_runs_kbd,turkmenistan_refinery_runs_kbd,ukraine_refinery_runs_kbd,uzbekistan_refinery_runs_kbd,former_soviet_union_refinery_runs_kbd,aruba_refinery_runs_kbd,barbados_refinery_runs_kbd,bonaire_sint_eustatius_and_saba_refinery_runs_kbd,bahamas_refinery_runs_kbd,belize_refinery_runs_kbd,guyana_refinery_runs_kbd,saint_lucia_refinery_runs_kbd,martinique_refinery_runs_kbd,suriname_refinery_runs_kbd,argentina_refinery_runs_kbd,bolivia_refinery_runs_kbd,brazil_refinery_runs_kbd,chile_refinery_runs_kbd,colombia_refinery_runs_kbd,costa_rica_refinery_runs_kbd,cuba_refinery_runs_kbd,curacao_refinery_runs_kbd,dominican_republic_refinery_runs_kbd,ecuador_refinery_runs_kbd,guatemala_refinery_runs_kbd,honduras_refinery_runs_kbd,jamaica_refinery_runs_kbd,nicaragua_refinery_runs_kbd,peru_refinery_runs_kbd,puerto_rico_refinery_runs_kbd,el_salvador_refinery_runs_kbd,trinidad_and_tobago_refinery_runs_kbd,uruguay_refinery_runs_kbd,venezuela_refinery_runs_kbd,us_virgin_islands_refinery_runs_kbd,latin_america_refinery_runs_kbd,united_arab_emirates_refinery_runs_kbd,bahrain_refinery_runs_kbd,israel_refinery_runs_kbd,iraq_refinery_runs_kbd,iran_refinery_runs_kbd,jordan_refinery_runs_kbd,kuwait_refinery_runs_kbd,oman_refinery_runs_kbd,qatar_refinery_runs_kbd,saudi_arabia_refinery_runs_kbd,syria_refinery_runs_kbd,yemen_refinery_runs_kbd,middle_east_refinery_runs_kbd,canada_refinery_runs_kbd,mexico_refinery_runs_kbd,united_states_refinery_runs_kbd,padd_1_refinery_runs_kbd,padd_2_refinery_runs_kbd,padd_3_refinery_runs_kbd,padd_4_refinery_runs_kbd,padd_5_refinery_runs_kbd,north_america_refinery_runs_kbd,west_of_suez_refinery_runs_kbd,oecd_refinery_runs_kbd,non-oecd_refinery_runs_kbd,world_refinery_runs_kbd
01/01/24,0,0,0,3,41,20,94,0,654,511,17,3,0,110,0,18,55,0,30,11,29,214,0,1810,21928,9,11,15,33,0,0,198,26,176,14506.69229,814.0695889,5336,2596,2856,4,705,0,29,158,230,788,1001,768,347,30606.76188,39994.86108,1,157,0,625,107,61,147,1725,151,1346,6207,188,820,973,514,3,153,58,1343,191,0,1117,225,502,209,213,66,377,115,674,12061,6,2,105,372.410115,361,5467,106,0,49,6468.410115,0,0,0,0,0,0,0,0,12,532,31,1982,171,428,0,38,0,24,137,3,0,22,17,152,0,0,0,0,274,0,3823,948.0991959,275,240,812,2432,47,1190,389,327,2597,114,17,9388.099196,1756,954,15395,696,3908,8154,570,2067,18105,42267.41011,35837,46425.27119,82262.27119
01/02/24,0,0,0,3,48,20,65,0,658,492,19,22,0,112,0,18,97,0,21,11,29,215,0,1830,21315,11,11,15,47,0,0,220,26,182,14900.28536,819.3384713,5277,2466,2858,4,652,0,29,154,202,815,1095,877,338,30998.62383,40710.92037,3,158,0,617,122,62,159,1797,151,1378,6270,178,863,963,519,4,152,54,1269,161,0,1039,163,511,185,224,84,396,65,705,11982,6,3,125,387.0451933,363,5352,106,0,49,6392.045193,0,0,0,0,0,0,0,0,12,506,29,1948,185,428,0,41,0,16,132,3,0,24,15,153,0,0,0,0,250,0,3742,933.2965459,272,259,817,2417,48,1250,438,281,2855,125,17,9712.296546,1756,935,14882,771,3611,7987,542,1971,17573,41519.04519,35106,47123.96557,82229.96557
01/03/24,0,0,0,3,49,20,74,0,576,527,18,7,0,110,0,18,165,0,30,11,26,98,0,1732,22394,12,11,15,39,0,0,208,26,186,15307.30909,825.2741581,5526,2508,2805,4,711,0,0,157,257,891,1101,797,340,31726.58324,41259.37273,3,151,0,614,141,62,138,1762,128,1250,6064,195,795,963,510,1,118,56,1294,138,0,946,204,522,192,165,0,389,75,748,11560,6,4,94,382.383686,366,5225,106,0,49,6232.383686,0,0,0,0,0,0,0,0,12,510,30,1926,183,428,0,28,0,16,129,3,0,0,17,147,0,0,0,0,286,0,3715,873.7894872,275,268,797,2355,48,1280,427,348,2740,104,17,9532.789487,1752,1062,15865,762,3778,8696,530,2099,18679,41918.38369,35901,47276.75642,83177.75642
01/04/24,0,0,0,3,46,20,64,0,664,483,19,8,0,110,0,20,171,0,30,11,29,199,0,1877,22023,11,11,15,38,0,0,212,26,174,14889.18567,789.6548962,5282,2452,2899,4,680,0,0,12,280,874,1144,735,218,30745.84056,40255.26085,5,160,0,644,149,59,68,1809,124,1307,6088,69,827,948,526,5,118,56,1197,202,0,841,25,506,225,143,13,387,130,806,11349,6,4,123,349.9052239,289,5267,106,0,49,6195.905224,0,0,0,0,0,0,0,0,12,525,30,1908,173,424,0,27,0,24,150,3,0,0,13,156,0,0,0,4,337,0,3786,934.4202909,252,254,802,2353,31,1280,414,352,2725,95,17,9509.420291,1404,951,15882,778,3694,8729,573,2108,18237,41444.90522,35261,46439.16608,81700.16608
01/05/24,0,0,0,3,49,20,82,0,386,522,17,1,0,110,0,20,213,0,30,11,29,168,0,1661,22860,9,11,15,31,0,0,215,26,175,14838.21895,802.1443654,5445,2311,2848,4,742,0,0,38,255,864,996,846,331,30802.36332,40542.31261,2,151,0,598,145,7,84,1827,133,1384,6179,25,861,967,502,39,150,38,1140,206,0,774,21,513,216,182,77,350,65,777,11234,6,4,100,293.8105942,401,5296,106,0,49,6255.810594,0,0,0,0,0,0,0,5,12,537,30,1885,162,424,0,44,0,24,127,3,0,0,18,118,0,0,0,30,287,0,3706,808.9492959,255,195,822,2399,23,1243,417,347,3125,88,17,9739.949296,1593,842,16719,829,4028,9081,613,2168,19154,42010.81059,35674,46879.12321,82553.12321
01/06/24,0,0,0,3,50,20,63,0,669,525,17,17,0,110,0,18,312,0,30,11,28,131,0,2004,23299,9,11,15,29,0,0,207,26,128,14781.51792,920.4549776,5425,2025,2705,4,727,0,0,141,245,818,1083,846,337,30482.9729,39812.37624,0,167,0,632,146,11,108,1796,148,1224,6168,204,995,1012,507,50,151,0,1141,206,0,962,172,541,209,250,86,391,53,769,11931,6,4,94,373.9649,350,5223,97,0,49,6197.9649,0,0,0,0,0,0,0,9,12,516,29,1940,183,424,0,49,0,25,129,2,0,14,17,121,0,0,0,33,320,0,3823,917.4033435,244,147,856,2426,21,1265,422,318,2604,92,17,9329.403343,1783,877,16816,818,3974,9155,643,2226,19476,43431.9649,36142,47102.34114,83244.34114
01/07/24,0,0,0,3,51,20,84,0,670,511,18,5,0,110,0,18,222,0,30,11,27,155,0,1935,23291,8,11,15,16,0,0,181,26,151,14447.07674,852.4591446,5341,1936,2738,4,686,0,0,144,247,821,1091,839,343,29897.53588,39371.18312,4,182,0,637,131,58,148,1796,154,1276,6225,196,988,984,518,68,137,29,1181,194,0,1108,204,540,213,260,87,355,100,730,12278,6,4,93,281.3644751,340,5401,102,0,49,6276.364475,0,0,0,0,0,0,0,14,12,485,30,1971,202,401,0,58,0,26,137,3,0,24,17,161,0,0,0,33,275,0,3849,946.6472376,266,196,848,2410,36,1260,447,360,2581,106,17,9473.647238,1850,1013,16579,820,3881,8993,620,2265,19442,43780.36448,36423,46728.54759,83151.54759
01/08/24,0,0,0,3,48,20,55,0,669,514,20,9,0,110,0,18,244,0,30,11,29,201,0,1981,23589,8,11,15,6,0,0,153,26,171,14556.82583,846.7355197,5116,2210,2911,4,685,0,0,160,268,787,1113,772,340,30159.56135,39958.85717,2,174,0,603,139,64,111,1742,142,1291,6253,179,970,1015,517,62,94,53,1235,199,0,1041,200,535,203,246,84,323,119,723,12066,6,4,96,189.8647137,411,5513,102,0,49,6371.864714,0,0,0,0,0,0,0,10,12,521,32,1973,193,401,0,52,0,25,144,3,0,24,18,151,0,0,0,40,288,0,3887,976.2958209,272,243,832,2452,52,1230,359,369,2905,92,17,9799.295821,1860,990,16852,757,4028,9142,653,2272,19702,44007.86471,36945,47021.72189,83966.72189
01/09/24,0,0,0,3,41,20,76,0,656,488,20,16,0,112,0,18,269,0,30,11,28,204,0,1992,22584,8,11,15,30,0,0,183,26,171,14789.58893,837.3950882,5181,2362,2772,4,707,0,0,146,273,722,1067,690,343,30337.98402,40219.85017,1,167,0,597,131,65,139,1720,88,1219,5917,186,969,859,450,63,116,53,1150,189,0,1034,208,513,203,256,88,331,85,542,11422,6,4,126,191.4284589,408,5308,99,0,49,6191.428459,0,0,0,0,0,0,0,0,12,518,27,1979,202,401,0,41,0,32,98,3,0,23,15,166,0,0,0,45,266,0,3828,1004.86615,258,243,828,2496,42,1220,429,332,2937,75,17,9881.86615,1673,881,16202,770,3819,8787,601,2225,18756,42189.42846,35401,47008.27863,82409.27863
01/10/24,0,0,0,3,37,20,65,0,661,481,17,1,0,113,0,18,303,0,30,11,27,195,0,1982,22366,8,11,15,37,0,0,204,26,188,14509.6786,865.6821858,5037,2330,2731,4,769,0,0,150,188,847,1072,654,341,29987.36079,39767.42005,3,180,0,612,131,62,170,1661,140,1237,5855,195,960,870,412,55,142,4,1127,108,0,944,211,544,221,260,86,350,76,571,11332,6,4,114,368.9459367,320,5113,101,0,49,6077.945937,0,0,0,0,0,0,0,7,12,521,27,1957,162,401,0,29,0,31,107,3,0,23,15,163,0,0,0,44,239,0,3741,971.0592639,251,154,789,2567,42,1220,416,365,2912,76,17,9780.059264,1777,731,16117,716,3734,8933,601,2133,18625,41757.94594,35003,46522.36599,81525.36599
