date,worldscale_rate,usd_per_bbl
07/01/11,120,2.7915
14/01/11,110,2.55888
21/01/11,102.5,2.38441
28/01/11,100,2.32625
04/02/11,70,1.62838
11/02/11,82.5,1.91916
18/02/11,82.5,1.91916
25/02/11,75,1.74469
04/03/11,95,2.20994
11/03/11,115,2.67519
18/03/11,115,2.67519
25/03/11,127.5,2.96597
01/04/11,125,2.90781
08/04/11,130,3.02413
15/04/11,100,2.32625
22/04/11,100,2.32625
29/04/11,100,2.32625
06/05/11,110,2.55888
13/05/11,110,2.55888
20/05/11,100,2.32625
27/05/11,88,2.0471
03/06/11,85,1.97731
10/06/11,82.5,1.91916
17/06/11,82.5,1.91916
24/06/11,92.5,2.15178
01/07/11,82.5,1.91916
08/07/11,80,1.861
15/07/11,90,2.09363
22/07/11,90,2.09363
29/07/11,100,2.32625
05/08/11,100,2.32625
12/08/11,95,2.20994
19/08/11,95,2.20994
26/08/11,100,2.32625
02/09/11,105,2.44256
09/09/11,110,2.55888
16/09/11,102.5,2.38441
23/09/11,102.5,2.38441
30/09/11,130,3.02413
07/10/11,112,2.6054
14/10/11,125,2.90781
21/10/11,120,2.7915
28/10/11,115,2.67519
04/11/11,115,2.67519
11/11/11,115,2.67519
18/11/11,102.5,2.38441
25/11/11,110,2.55888
02/12/11,125,2.90781
09/12/11,110,2.55888
16/12/11,120,2.7915
23/12/11,120,2.7915
30/12/11,138.5,3.22186
06/01/12,145,4.00744
13/01/12,110,3.04013
20/01/12,90,2.48738
27/01/12,80,2.211
03/02/12,80,2.211
10/02/12,80,2.211
17/02/12,80,2.211
24/02/12,92.5,2.55647
02/03/12,92.5,2.55647
09/03/12,90,2.48738
16/03/12,105,2.90194
23/03/12,110,3.04013
30/03/12,105,2.90194
06/04/12,100,2.76375
13/04/12,125,3.45469
20/04/12,100,2.76375
27/04/12,70,1.93463
04/05/12,60,1.65825
11/05/12,57.5,1.58916
18/05/12,80,2.211
25/05/12,80,2.211
01/06/12,75,2.07281
08/06/12,75,2.07281
15/06/12,62.5,1.72734
22/06/12,60,1.65825
29/06/12,60,1.65825
06/07/12,70,1.93463
13/07/12,67.5,1.86553
20/07/12,57.5,1.58916
27/07/12,70,1.93463
03/08/12,70,1.93463
10/08/12,67.5,1.86553
17/08/12,65,1.79644
24/08/12,70,1.93463
31/08/12,77.5,2.14191
07/09/12,65,1.79644
14/09/12,60,1.65825
21/09/12,70,1.93463
28/09/12,85,2.34919
05/10/12,87.5,2.41828
12/10/12,80,2.211
19/10/12,70,1.93463
26/10/12,85,2.34919
02/11/12,140,3.86925
09/11/12,140,3.86925
16/11/12,120,3.3165
23/11/12,120,3.3165
30/11/12,90,2.48738
07/12/12,82.5,2.28009
14/12/12,102.5,2.83284
21/12/12,120,3.3165
28/12/12,120,3.3165
04/01/13,90,2.69213
11/01/13,100,2.99125
18/01/13,105,3.14081
25/01/13,102.5,3.06603
01/02/13,112.5,3.36516
08/02/13,107.5,3.21559
15/02/13,97.5,2.91647
22/02/13,90,2.69213
01/03/13,70,2.09388
08/03/13,70,2.09388
15/03/13,65,1.94431
22/03/13,72.5,2.16866
29/03/13,85,2.54256
05/04/13,60,1.79475
12/04/13,62.5,1.86953
19/04/13,70,2.09388
26/04/13,72.5,2.16866
03/05/13,77.5,2.31822
10/05/13,85,2.54256
17/05/13,95,2.84169
24/05/13,87.5,2.61734
31/05/13,87.5,2.61734
07/06/13,85,2.54256
14/06/13,90,2.69213
21/06/13,100,2.99125
28/06/13,125,3.73906
05/07/13,130,3.88863
12/07/13,127.5,3.81384
19/07/13,115,3.43994
26/07/13,115,3.43994
02/08/13,100,2.99125
09/08/13,87.5,2.61734
16/08/13,82.5,2.46778
23/08/13,82.5,2.46778
30/08/13,95,2.84169
06/09/13,100,2.99125
13/09/13,120,3.5895
20/09/13,102.5,3.06603
27/09/13,150,4.48688
04/10/13,130,3.88863
11/10/13,105,3.14081
18/10/13,85,2.54256
25/10/13,100,2.99125
01/11/13,100,2.99125
08/11/13,150,4.48688
15/11/13,135,4.03819
22/11/13,137.5,4.11297
29/11/13,120,3.5895
06/12/13,110,3.29038
13/12/13,100,2.99125
20/12/13,112.5,3.36516
27/12/13,120,3.5895
03/01/14,115,3.29331
10/01/14,110,3.15013
17/01/14,85,2.43419
24/01/14,80,2.291
31/01/14,77.5,2.21941
07/02/14,80,2.291
14/02/14,90,2.57738
